      R          E1             E2
    2.112   -686.6512947   -686.5550402
    2.110   -686.6513257   -686.5548952
    2.100   -686.6514531   -686.5541537
    2.090   -686.6515318   -686.5533833
    2.080   -686.6515593   -686.5525815
    2.070   -686.6515330   -686.5517460
    2.060   -686.6514500   -686.5508741
    2.050   -686.6513075   -686.5499631
    2.040   -686.6511022   -686.5490101
    2.030   -686.6508310   -686.5480122
    2.020   -686.6504905   -686.5469664
    2.010   -686.6500770   -686.5458697
    2.000   -686.6495866   -686.5447193
    1.990   -686.6490154   -686.5435122
    1.980   -686.6483590   -686.5422458
    1.970   -686.6476126   -686.5409179
    1.960   -686.6467711   -686.5395264
    1.950   -686.6458291   -686.5380704
    1.940   -686.6447804   -686.5365497
    1.930   -686.6436178   -686.5349658
    1.920   -686.6423335   -686.5333223
    1.915   -686.6416426   -686.5324802
    1.910   -686.6409176   -686.5316261
    1.905   -686.6401567   -686.5307616
    1.900   -686.6393584   -686.5298885
    1.895   -686.6385204   -686.5290092
    1.890   -686.6376408   -686.5281261
    1.885   -686.6367172   -686.5272417
    1.880   -686.6357472   -686.5263578
    1.875   -686.6347291   -686.5254741
    1.870   -686.6336623   -686.5245866
    1.865   -686.6325488   -686.5236851
    1.860   -686.6313934   -686.5227535
    1.855   -686.6302027   -686.5217729
    1.850   -686.6289832   -686.5207275
    1.845   -686.6277388   -686.5196087
    1.840   -686.6264707   -686.5184141
    1.835   -686.6251778   -686.5171453
    1.830   -686.6238582   -686.5158051
    1.825   -686.6225093   -686.5143969
    1.820   -686.6211287   -686.5129232
    1.815   -686.6197139   -686.5113860
    1.810   -686.6182627   -686.5097869
    1.805   -686.6167730   -686.5081266
    1.800   -686.6152427   -686.5064058
    1.795   -686.6136702   -686.5046245
    1.790   -686.6120535   -686.5027826
    1.785   -686.6103912   -686.5008797
    1.780   -686.6086815   -686.4989153
    1.775   -686.6069230   -686.4968888
    1.770   -686.6051140   -686.4947992
    1.765   -686.6032532   -686.4926457
    1.760   -686.6013390   -686.4904274
    1.755   -686.5993700   -686.4881431
    1.750   -686.5973447   -686.4857917
    1.745   -686.5952616   -686.4833721
    1.740   -686.5931194   -686.4808829
    1.735   -686.5909165   -686.4783230
    1.730   -686.5886514   -686.4756909
    1.725   -686.5863226   -686.4729853
    1.720   -686.5839288   -686.4702049
    1.715   -686.5814682   -686.4673481
    1.710   -686.5789395   -686.4644135
    1.705   -686.5763409   -686.4613995
    1.700   -686.5736711   -686.4583046
    1.695   -686.5709283   -686.4551273
    1.690   -686.5681109   -686.4518658
    1.685   -686.5652174   -686.4485186
    1.680   -686.5622459   -686.4450840
    1.675   -686.5591949   -686.4415602
    1.670   -686.5560625   -686.4379454
    1.665   -686.5528472   -686.4342380
    1.660   -686.5495469   -686.4304360
    1.655   -686.5461601   -686.4265377
    1.650   -686.5426848   -686.4225411
