      R          E1             E2             E3
    1.350   -686.2785435   -686.0385747   -685.9620184
    1.345   -686.2644169   -686.0251619   -685.9462686
    1.340   -686.2499944   -686.0114636   -685.9302260
    1.335   -686.2352716   -685.9974755   -685.9138876
    1.330   -686.2202437   -685.9831930   -685.8972508
    1.325   -686.2049059   -685.9686118   -685.8803135
    1.320   -686.1892534   -685.9537273   -685.8630741
    1.315   -686.1732814   -685.9385350   -685.8455323
    1.310   -686.1569851   -685.9230303   -685.8276885
    1.305   -686.1403594   -685.9072086   -685.8095452
    1.300   -686.1233994   -685.8910653   -685.7911072
    1.295   -686.1060999   -685.8745957   -685.7723824
    1.290   -686.0884559   -685.8577950   -685.7533838
    1.285   -686.0704618   -685.8406584   -685.7341308
    1.280   -686.0521122   -685.8231812   -685.7146536
    1.275   -686.0334010   -685.8053586   -685.6949967
    1.270   -686.0143218   -685.7871860   -685.6752269
    1.265   -685.9944830   -685.7685147   -685.6587770
    1.260   -685.9746700   -685.7496316   -685.6391769
    1.255   -685.9544787   -685.7303857   -685.6195519
    1.250   -685.9339048   -685.7107727   -685.5998500
    1.245   -685.9129440   -685.6907880   -685.5799791
    1.240   -685.8915924   -685.6704273   -685.5598404
    1.235   -685.8698455   -685.6496861   -685.5393602
    1.230   -685.8476988   -685.6285598   -685.5184994
    1.225   -685.8251474   -685.6070438   -685.4972448
    1.220   -685.8021866   -685.5851332   -685.4755955
    1.215   -685.7788566   -685.5632598   -685.4528471
    1.210   -685.7550555   -685.5405732   -685.4304461
    1.205   -685.7308316   -685.5174755   -685.4076592
    1.200   -685.7061768   -685.4939625   -685.3844983
    1.195   -685.6804742   -685.4697903   -685.3615411
    1.190   -685.6549434   -685.4453995   -685.3375201
    1.185   -685.6289749   -685.4205829   -685.3131030
    1.180   -685.6025636   -685.3953354   -685.2882834
    1.175   -685.5757047   -685.3696525   -685.2630548
    1.170   -685.5483936   -685.3435291   -685.2374110
    1.165   -685.5206257   -685.3169606   -685.2113459
    1.160   -685.4923968   -685.2899421   -685.1848532
    1.155   -685.4637024   -685.2624688   -685.1579268
    1.150   -685.4345383   -685.2345358   -685.1305603
    1.145   -685.4049001   -685.2061381   -685.1027476
    1.140   -685.3747835   -685.1772708   -685.0744823
    1.135   -685.3441843   -685.1479287   -685.0457578
    1.130   -685.3130980   -685.1181066   -685.0165676
    1.125   -685.2815202   -685.0877989   -684.9869050
    1.120   -685.2494465   -685.0570003   -684.9567631
    1.115   -685.2168720   -685.0257050   -684.9261347
    1.110   -685.1837921   -684.9939069   -684.8950126
    1.105   -685.1502019   -684.9616000   -684.8633892
    1.100   -685.1160961   -684.9287778   -684.8312565
