      R          E1             E2
    2.250   -686.6816520   -686.6805379
    2.240   -686.6817979   -686.6806654
    2.230   -686.6819060   -686.6807554
    2.220   -686.6819747   -686.6808063
    2.210   -686.6820022   -686.6808163
    2.200   -686.6819867   -686.6807837
    2.190   -686.6819262   -686.6807065
    2.180   -686.6818190   -686.6805829
    2.170   -686.6816628   -686.6804107
    2.160   -686.6814556   -686.6801880
    2.150   -686.6811952   -686.6799124
    2.140   -686.6808792   -686.6795818
    2.130   -686.6805054   -686.6791937
    2.120   -686.6800713   -686.6787457
    2.112   -686.6796788   -686.6783425
    2.100   -686.6790116   -686.6776598
    2.090   -686.6783807   -686.6770166
    2.080   -686.6776786   -686.6763027
    2.070   -686.6769023   -686.6755152
    2.060   -686.6760489   -686.6746512
    2.050   -686.6751150   -686.6737073
    2.040   -686.6740974   -686.6726804
    2.030   -686.6729926   -686.6715671
    2.020   -686.6717970   -686.6703636
    2.010   -686.6705069   -686.6690665
    2.000   -686.6691184   -686.6676718
    1.990   -686.6676276   -686.6661756
    1.980   -686.6660301   -686.6645737
    1.970   -686.6643217   -686.6628618
    1.960   -686.6624978   -686.6610355
    1.957   -686.6619274   -686.6604646
    1.950   -686.6605538   -686.6590901
    1.940   -686.6584847   -686.6570207
    1.930   -686.6562856   -686.6548225
    1.920   -686.6539511   -686.6524901
    1.910   -686.6514758   -686.6500181
    1.900   -686.6488539   -686.6474009
    1.890   -686.6460796   -686.6446326
    1.880   -686.6431468   -686.6417071
    1.870   -686.6400490   -686.6386182
    1.860   -686.6367797   -686.6353592
    1.850   -686.6333319   -686.6319234
    1.840   -686.6296985   -686.6283035
    1.830   -686.6258720   -686.6244922
    1.820   -686.6218448   -686.6204819
    1.810   -686.6176088   -686.6162645
    1.800   -686.6131557   -686.6118319
    1.790   -686.6084768   -686.6071753
    1.780   -686.6035631   -686.6022858
    1.770   -686.5984053   -686.5971541
    1.760   -686.5929936   -686.5917707
    1.750   -686.5873181   -686.5861254
    1.740   -686.5813681   -686.5802078
    1.730   -686.5751329   -686.5740071
    1.720   -686.5686011   -686.5675120
    1.710   -686.5617611   -686.5607109
    1.700   -686.5546006   -686.5535917
    1.690   -686.5471070   -686.5461417
    1.680   -686.5392672   -686.5383479
    1.670   -686.5310675   -686.5301967
    1.660   -686.5224939   -686.5216741
    1.650   -686.5135316   -686.5127654
    1.640   -686.5041655   -686.5034554
    1.630   -686.4943797   -686.4937284
    1.620   -686.4841578   -686.4835681
    1.610   -686.4734829   -686.4729576
    1.600   -686.4623374   -686.4618794
    1.590   -686.4507030   -686.4503151
    1.580   -686.4385607   -686.4382461
    1.570   -686.4258911   -686.4256527
    1.560   -686.4126736   -686.4125147
    1.550   -686.3988874   -686.3988113
    1.540   -686.3845208   -686.3845106
    1.530   -686.3696207   -686.3695207
    1.520   -686.3540878   -686.3538943
    1.510   -686.3378984   -686.3376075
    1.500   -686.3210276   -686.3206351
    1.490   -686.3034498   -686.3029515
    1.480   -686.2851390   -686.2845300
    1.470   -686.2660678   -686.2653432
    1.460   -686.2462083   -686.2453627
    1.450   -686.2255320   -686.2245594
    1.440   -686.2040093   -686.2029032
    1.430   -686.1816100   -686.1803630
    1.420   -686.1583032   -686.1569070
    1.410   -686.1340574   -686.1325024
    1.400   -686.1088404   -686.1071156
    1.395   -686.0958575   -686.0940431
    1.390   -686.0826197   -686.0807121
    1.385   -686.0691227   -686.0671181
    1.380   -686.0553625   -686.0532565
    1.375   -686.0413350   -686.0391229
    1.370   -686.0270361   -686.0247126
    1.365   -686.0124617   -686.0100210
    1.360   -685.9976080   -685.9950435
    1.355   -685.9824711   -685.9797751
    1.350   -685.9670471   -685.9642112
    1.345   -685.9513324   -685.9483469
    1.340   -685.9353236   -685.9321774
    1.335   -685.9190177   -685.9156976
    1.330   -685.9024116   -685.8989027
    1.325   -685.8855032   -685.8817877
    1.320   -685.8682906   -685.8643474
    1.315   -685.8507729   -685.8465768
    1.310   -685.8329502   -685.8284708
    1.305   -685.8148240   -685.8100242
    1.300   -685.7963975   -685.7912319
    1.295   -685.7776766   -685.7720886
    1.290   -685.7586704   -685.7525890
    1.285   -685.7393925   -685.7327279
    1.280   -685.7198623   -685.7125001
    1.275   -685.7001069   -685.6919000
    1.270   -685.6801621   -685.6709226
    1.265   -685.6600734   -685.6495624
    1.260   -685.6398930   -685.6278143
    1.255   -685.6196722   -685.6056734
    1.250   -685.5994439   -685.5831350
    1.245   -685.5792010   -685.5601951
    1.240   -685.5588826   -685.5368503
    1.235   -685.5383853   -685.5130971
    1.230   -685.5176012   -685.4889315
    1.225   -685.4964515   -685.4643487
    1.220   -685.4748967   -685.4393437
    1.215   -685.4538094   -685.4135627
    1.210   -685.4312503   -685.3879497
    1.205   -685.4083272   -685.3618733
    1.200   -685.3850313   -685.3353332
    1.195   -685.3613544   -685.3083287
    1.190   -685.3372891   -685.2808584
    1.185   -685.3128284   -685.2529205
    1.180   -685.2879655   -685.2245129
    1.175   -685.2626939   -685.1956334
    1.170   -685.2370073   -685.1662797
    1.165   -685.2108993   -685.1364494
    1.160   -685.1843637   -685.1061401
    1.155   -685.1573942   -685.0753495
    1.150   -685.1299845   -685.0440757
    1.145   -685.1021280   -685.0123177
    1.140   -685.0738182   -684.9800758
    1.135   -685.0450488   -684.9473548
    1.130   -685.0158129   -684.9141705
    1.125   -684.9861039   -684.8805812
    1.120   -684.9559151   -684.8468738
